ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
DBAW,Deutsche X,Deutsche X-trackers MSCI All World ex US Hedged Equity ETF,P,DBAW,Y,100.0,N,DBAW
DBB,PowerShares DB Base Metals Fund,PowerShares DB Base Metals Fund,P,DBB,Y,100.0,N,DBB
DBBR,Deutsche X,Deutsche X-trackers MSCI Brazil Hedged Equity Fund,P,DBBR,Y,100.0,N,DBBR
DBC,PowerShares DB Commodity Index Trac,PowerShares DB Commodity Index Trac,P,DBC,Y,100.0,N,DBC
DBD,"Diebold, Incorporated Common Stock","Diebold, Incorporated Common Stock",N,DBD,N,100.0,N,DBD
DBE,PowerShares DB Energy Fund,PowerShares DB Energy Fund,P,DBE,Y,100.0,N,DBE
DBEF,Deutsche X,Deutsche X-trackers MSCI EAFE Hedged Equity ETF,P,DBEF,Y,100.0,N,DBEF
DBEM,Deutsche X,Deutsche X-trackers MSCI Emerging Markets Hedged Equity ETF,P,DBEM,Y,100.0,N,DBEM
DBEU,Deutsche X,Deutsche X-Trackers MSCI Europe Hedged Equity ETF,P,DBEU,Y,100.0,N,DBEU
DBEZ,Deutsche X,Deutsche X-trackers MSCI EMU Hedged Equity ETF,P,DBEZ,Y,100.0,N,DBEZ
DBGR,Deutsche X,Deutsche X-trackers MSCI Germany Hedged Equity ETF,P,DBGR,Y,100.0,N,DBGR
DBIZ,AdvisorShares Pring Turner Business Cycle ETF,AdvisorShares Pring Turner Business Cycle ETF,P,DBIZ,Y,100.0,N,DBIZ
DBJP,Deutsche X,Deutsche X-trackers MSCI Japan Hedged Equity ETF,P,DBJP,Y,100.0,N,DBJP
DBKO,Deutsche X,Deutsche X-trackers MSCI South Korea Hedged Equity ETF,P,DBKO,Y,100.0,N,DBKO
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,N,DBL,N,100.0,N,DBL
DBMX,Deutsche X,Deutsche X-trackers MSCI Mexico Hedged Equity ETF,P,DBMX,Y,100.0,N,DBMX
DBO,PowerShares DB Oil Fund,PowerShares DB Oil Fund,P,DBO,Y,100.0,N,DBO
DBP,PowerShares DB Precious Metals Fund,PowerShares DB Precious Metals Fund,P,DBP,Y,100.0,N,DBP
DBS,PowerShares DB Silver Fund,PowerShares DB Silver Fund,P,DBS,Y,100.0,N,DBS
DBU,WisdomTree Global ex,WisdomTree Global ex-US Utility IndexInternational Utilities Sector Fund,P,DBU,Y,100.0,N,DBU
DBUK,Deutsche X,Deutsche X-Trackers MSCI United Kingdom Hedged Equity ETF,P,DBUK,Y,100.0,N,DBUK
DBV,PowerShares DB G10 Currency Harvest,PowerShares DB G10 Currency Harvest,P,DBV,Y,100.0,N,DBV
DCA,Virtus Total Return Fund,Virtus Total Return Fund,N,DCA,N,100.0,N,DCA
DCI,"Donaldson Company, Inc. Common Stock","Donaldson Company, Inc. Common Stock",N,DCI,N,100.0,N,DCI
DCM,"NTT DOCOMO, Inc American Depositary Shares","NTT DOCOMO, Inc American Depositary Shares",N,DCM,N,100.0,N,DCM
DCNG,iPath Seasonal Natural Gas ETN,iPath Seasonal Natural Gas ETN,P,DCNG,N,100.0,N,DCNG
DCO,Ducommun Incorporated Common Stock,Ducommun Incorporated Common Stock,N,DCO,N,100.0,N,DCO
DCT,DCT Industrial Trust Inc Common Stock,DCT Industrial Trust Inc Common Stock,N,DCT,N,100.0,N,DCT
DCUA,"Dominion Resources, Inc. Corporate Unit 2013 Series A","Dominion Resources, Inc. Corporate Unit 2013 Series A",N,DCUA,N,100.0,N,DCUA
DCUB,"Dominion Resources, Inc. Corporate Unit 2013 Series B","Dominion Resources, Inc. Corporate Unit 2013 Series B",N,DCUB,N,100.0,N,DCUB
DCUC,"Dominion Resources, Inc. VA New 2014 Series A Corp Unit","Dominion Resources, Inc. VA New 2014 Series A Corp Unit",N,DCUC,N,100.0,N,DCUC
DD,E.I. du Pont de Nemours and Company Common Stock,E.I. du Pont de Nemours and Company Common Stock,N,DD,N,100.0,N,DD
DD$A,E.I. du Pont de Nemours and Company Preferred Stock,E.I. du Pont de Nemours and Company Preferred Stock,N,DDpA,N,100.0,N,DD-A
DD$B,E.I. du Pont de Nemours and Company Preferred Stock,E.I. du Pont de Nemours and Company Preferred Stock,N,DDpB,N,100.0,N,DD-B
DDC,Dominion Diamond Corporation Common Stock,Dominion Diamond Corporation Common Stock,N,DDC,N,100.0,N,DDC
DDD,3D Systems Corporation Common Stock,3D Systems Corporation Common Stock,N,DDD,N,100.0,N,DDD
DDE,Dover Downs Gaming & Entertainment Inc Common Stock,Dover Downs Gaming & Entertainment Inc Common Stock,N,DDE,N,100.0,N,DDE
DDF,"Delaware Investments Dividend & Income Fund, Inc. Common Stock","Delaware Investments Dividend & Income Fund, Inc. Common Stock",N,DDF,N,100.0,N,DDF
DDG,ProShares Short Oil & Gas,ProShares Short Oil & Gas,P,DDG,Y,100.0,N,DDG
DDM,ProShares Ultra Dow30,ProShares Ultra Dow30,P,DDM,Y,100.0,N,DDM
DDP,DB Commodity DB Commodity Short ETN,DB Commodity DB Commodity Short ETN,P,DDP,N,100.0,N,DDP
DDR,DDR Corp. Common Stock,DDR Corp. Common Stock,N,DDR,N,100.0,N,DDR
DDR$J,DDR Corporation Dep Shs Repstg 1/20th Pfd Cl J,DDR Corporation Dep Shs Repstg 1/20th Pfd Cl J,N,DDRpJ,N,100.0,N,DDR-J
DDR$K,DDR Corp. DEPOSITARY SH REPSTG 1/20TH PDF CL K % (United States),DDR Corp. DEPOSITARY SH REPSTG 1/20TH PDF CL K % (United States),N,DDRpK,N,100.0,N,DDR-K
DDS,"Dillard's, Inc. Common Stock","Dillard's, Inc. Common Stock",N,DDS,N,100.0,N,DDS
DDT,Dillard's Capital Trust I,Dillard's Capital Trust I,N,DDT,N,100.0,N,DDT
DE,Deere & Company Common Stock,Deere & Company Common Stock,N,DE,N,100.0,N,DE
DECK,Deckers Outdoor Corporation Common Stock,Deckers Outdoor Corporation Common Stock,N,DECK,N,100.0,N,DECK
DEE,DB Commodity DB Commodity Double Short ETN,DB Commodity DB Commodity Double Short ETN,P,DEE,N,100.0,N,DEE
DEF,Guggenheim Defensive Equity ETF,Guggenheim Defensive Equity ETF,P,DEF,Y,100.0,N,DEF
DEFL,PowerShares DB US Deflation ETN,PowerShares DB US Deflation ETN,P,DEFL,N,100.0,N,DEFL
DEG,"Etablissements Delhaize Freres et Cie ""Le Lion"" S.A. Common Stock","Etablissements Delhaize Freres et Cie ""Le Lion"" S.A. Common Stock",N,DEG,N,100.0,N,DEG
DEI,"Douglas Emmett, Inc. Common Stock","Douglas Emmett, Inc. Common Stock",N,DEI,N,100.0,N,DEI
DEJ,Dejour Energy Inc. Ltd Ordinary Shares (Canada) New,Dejour Energy Inc. Ltd Ordinary Shares (Canada) New,A,DEJ,N,100.0,N,DEJ
DEL,Deltic Timber Corporation Common Stock,Deltic Timber Corporation Common Stock,N,DEL,N,100.0,N,DEL
DEM,WisdomTree Emerging Markets High,WisdomTree Emerging Markets High-Yielding Fund,P,DEM,Y,100.0,N,DEM
DEO,Diageo plc Common Stock,Diageo plc Common Stock,N,DEO,N,100.0,N,DEO
DES,WisdomTree Trust SmallCap Dividend Fund,WisdomTree Trust SmallCap Dividend Fund,P,DES,Y,100.0,N,DES
DEW,WisdomTree Europe High,WisdomTree Europe High-Yielding Equity Fund,P,DEW,Y,100.0,N,DEW
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,N,DEX,N,100.0,N,DEX
DF,Dean Foods Company Common Stock,Dean Foods Company Common Stock,N,DF,N,100.0,N,DF
DFE,WisdomTree Europe SmallCap Dividend Fund,WisdomTree Europe SmallCap Dividend Fund,P,DFE,Y,100.0,N,DFE
DFF,Bank of America Corporation MITTS Linked to the Dow Jones Industrial Average,Bank of America Corporation MITTS Linked to the Dow Jones Industrial Average,P,DFF,N,100.0,N,DFF
DFJ,WisdomTree Japan SmallCap Fund,WisdomTree Japan SmallCap Fund,P,DFJ,Y,100.0,N,DFJ
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,N,DFP,N,100.0,N,DFP
DFS,Discover Financial Services Common Stock,Discover Financial Services Common Stock,N,DFS,N,100.0,N,DFS
DFS$B,Discover Financial Services Dep Shs,Discover Financial Services Dep Shs,N,DFSpB,N,100.0,N,DFS-B
DFT,"Dupont Fabros Technology, Inc. Common Stock","Dupont Fabros Technology, Inc. Common Stock",N,DFT,N,100.0,N,DFT
DFT$A,DuPont Fabros Technology Inc CUMULATIVE RED PERP PFD SER A,DuPont Fabros Technology Inc CUMULATIVE RED PERP PFD SER A,N,DFTpA,N,100.0,N,DFT-A
DFT$B,"Dupont Fabros Technology, Inc. 7.625% Series B Cumulative Redeemable Perpetual Preferred Stock","Dupont Fabros Technology, Inc. 7.625% Series B Cumulative Redeemable Perpetual Preferred Stock",N,DFTpB,N,100.0,N,DFT-B
DG,Dollar General Corporation Common Stock,Dollar General Corporation Common Stock,N,DG,N,100.0,N,DG
DGAZ,VelocityShares 3X Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas INdex Excess Return,VelocityShares 3X Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas INdex Excess Return,P,DGAZ,N,100.0,N,DGAZ
DGI,"DigitalGlobe, Inc Common Stock","DigitalGlobe, Inc Common Stock",N,DGI,N,100.0,N,DGI
DGL,PowerShares DB Gold Fund,PowerShares DB Gold Fund,P,DGL,Y,100.0,N,DGL
DGP,Deutsche Bank AG PowerShares DB Gold Double Long ETN,Deutsche Bank AG PowerShares DB Gold Double Long ETN,P,DGP,N,100.0,N,DGP
DGRO,iShares Core Dividend Growth ETF,iShares Core Dividend Growth ETF,P,DGRO,Y,100.0,N,DGRO
DGS,WisdomTree Emerging Market SmallCap Fund,WisdomTree Emerging Market SmallCap Fund,P,DGS,Y,100.0,N,DGS
DGSE,"DGSE Companies, Inc. Common Stock","DGSE Companies, Inc. Common Stock",A,DGSE,N,100.0,N,DGSE
DGT,SPDR Global Dow ETF (based on The Global Dow),SPDR Global Dow ETF (based on The Global Dow),P,DGT,Y,100.0,N,DGT
DGX,Quest Diagnostics Incorporated Common Stock,Quest Diagnostics Incorporated Common Stock,N,DGX,N,100.0,N,DGX
DGZ,Deutsche Bank AG DB Gold Short ETN,Deutsche Bank AG DB Gold Short ETN,P,DGZ,N,100.0,N,DGZ
DHF,Dreyfus High Yield Strategies Fund Common Stock,Dreyfus High Yield Strategies Fund Common Stock,N,DHF,N,100.0,N,DHF
DHG,"Deutsche High Income Opportunities Fund, Inc  New Common Stock","Deutsche High Income Opportunities Fund, Inc  New Common Stock",N,DHG,N,100.0,N,DHG
DHI,"D.R. Horton, Inc. Common Stock","D.R. Horton, Inc. Common Stock",N,DHI,N,100.0,N,DHI
DHR,Danaher Corporation Common Stock,Danaher Corporation Common Stock,N,DHR,N,100.0,N,DHR
DHS,WisdomTree High,WisdomTree High-Yielding Equity Fund,P,DHS,Y,100.0,N,DHS
DHT,"DHT Holdings, Inc.","DHT Holdings, Inc.",N,DHT,N,100.0,N,DHT
DHX,"Dice Holdings, Inc. Common Stock","Dice Holdings, Inc. Common Stock",N,DHX,N,100.0,N,DHX
DHY,Credit Suisse High Yield Bond Fund Common Stock,Credit Suisse High Yield Bond Fund Common Stock,A,DHY,N,100.0,N,DHY
DI,PIMCO Diversified Income Active Exchange,PIMCO Diversified Income Active Exchange-Traded Fund,P,DI,Y,100.0,N,DI
DIA,SPDR Dow Jones Industrial Average ETF,SPDR Dow Jones Industrial Average ETF,P,DIA,Y,100.0,N,DIA
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,N,DIAX,N,100.0,N,DIAX
DIG,ProShares Ultra Oil & Gas,ProShares Ultra Oil & Gas,P,DIG,Y,100.0,N,DIG
DIM,WisdomTree International MidCap Dividend Fund,WisdomTree International MidCap Dividend Fund,P,DIM,Y,100.0,N,DIM
DIN,"DineEquity, Inc Common Stock","DineEquity, Inc Common Stock",N,DIN,N,100.0,N,DIN
DIRT,iPath Pure Beta Agriculture ETN,iPath Pure Beta Agriculture ETN,P,DIRT,N,100.0,N,DIRT
DIS,Walt Disney Company (The) Common Stock,Walt Disney Company (The) Common Stock,N,DIS,N,100.0,N,DIS
DIT,AMCON Distributing Company Common Stock,AMCON Distributing Company Common Stock,A,DIT,N,100.0,N,DIT
DIV,Global X Super Dividend ETF,Global X Super Dividend ETF,P,DIV,Y,100.0,N,DIV
DIVC,Citigroup Inc. C,Citigroup Inc. C-Tracks ETN Miller/Howard Strategic Dividend Reinvestors Due 9/16/2014,P,DIVC,N,100.0,N,DIVC
DIVI,AdvisorShares Athena High Dividend ETF,AdvisorShares Athena High Dividend ETF,P,DIVI,Y,100.0,N,DIVI
DIVY,Realty Shares DIVS ETF,Realty Shares DIVS ETF,P,DIVY,Y,100.0,N,DIVY
DJCI,E,"E-TRACS Linked to the Bloomberg Commodity Index Total Return due October 31, 2039",P,DJCI,N,100.0,N,DJCI
DJP,iPath Bloomberg Commodity Index Total Return ETN,iPath Bloomberg Commodity Index Total Return ETN,P,DJP,N,100.0,N,DJP
DK,"Delek US Holdings, Inc. Common Stock","Delek US Holdings, Inc. Common Stock",N,DK,N,100.0,N,DK
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests","Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",N,DKL,N,100.0,N,DKL
DKS,Dick's Sporting Goods Inc Common Stock,Dick's Sporting Goods Inc Common Stock,N,DKS,N,100.0,N,DKS
DKT,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,N,DKT,N,100.0,N,DKT
DL,China Distance Education Holdings Limited American Depositary Shares,China Distance Education Holdings Limited American Depositary Shares,N,DL,N,100.0,N,DL
DLA,"Delta Apparel, Inc. Common Stock","Delta Apparel, Inc. Common Stock",A,DLA,N,100.0,N,DLA
DLB,Dolby Laboratories Common Stock,Dolby Laboratories Common Stock,N,DLB,N,100.0,N,DLB
DLN,WisdomTree LargeCap Dividend Fund,WisdomTree LargeCap Dividend Fund,P,DLN,Y,100.0,N,DLN
DLNG,Dynagas LNG Partners LP Common Units,Dynagas LNG Partners LP Common Units,N,DLNG,N,100.0,N,DLNG
DLPH,Delphi Automotive plc Ordinary Shares,Delphi Automotive plc Ordinary Shares,N,DLPH,N,100.0,N,DLPH
DLR,"Digital Realty Trust, Inc. Common Stock","Digital Realty Trust, Inc. Common Stock",N,DLR,N,100.0,N,DLR
DLR$E,"Digital Realty Trust, Inc. Redeemable Pfd Ser E","Digital Realty Trust, Inc. Redeemable Pfd Ser E",N,DLRpE,N,100.0,N,DLR-E
DLR$F,"Digital Realty Trust, Inc. Preferred Series F","Digital Realty Trust, Inc. Preferred Series F",N,DLRpF,N,100.0,N,DLR-F
DLR$G,"Digital Realty Trust, Inc. Preferred Series G","Digital Realty Trust, Inc. Preferred Series G",N,DLRpG,N,100.0,N,DLR-G
DLR$H,"Digital Realty Trust, Inc. Redeemable Preferred Stock Series H","Digital Realty Trust, Inc. Redeemable Preferred Stock Series H",N,DLRpH,N,100.0,N,DLR-H
DLS,WisdomTree International SmallCap Fund,WisdomTree International SmallCap Fund,P,DLS,Y,100.0,N,DLS
DLX,Deluxe Corporation Common Stock,Deluxe Corporation Common Stock,N,DLX,N,100.0,N,DLX
DM,"Dominion Midstream Partners, LP Common Units representing Limited Partner Interests","Dominion Midstream Partners, LP Common Units representing Limited Partner Interests",N,DM,N,100.0,N,DM
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Common Stock","Dreyfus Municipal Bond Infrastructure Fund, Inc. Common Stock",N,DMB,N,100.0,N,DMB
DMD,Demand Media Inc. Common Stock,Demand Media Inc. Common Stock,N,DMD,N,100.0,N,DMD
DMF,"Dreyfus Municipal Income, Inc. Common Stock","Dreyfus Municipal Income, Inc. Common Stock",A,DMF,N,100.0,N,DMF
DMO,Western Asset Mortgage Defined Opportunity Fund Inc Common Stock,Western Asset Mortgage Defined Opportunity Fund Inc Common Stock,N,DMO,N,100.0,N,DMO
DNB,Dun & Bradstreet Corporation (The) Common Stock,Dun & Bradstreet Corporation (The) Common Stock,N,DNB,N,100.0,N,DNB
DNI,Dividend and Income Fund Common Stock,Dividend and Income Fund Common Stock,N,DNI,N,100.0,N,DNI
DNL,WisdomTree Global ex,WisdomTree Global ex-U.S. Growth Fund,P,DNL,Y,100.0,N,DNL
DNN,Denison Mines Corp Ordinary Shares (Canada),Denison Mines Corp Ordinary Shares (Canada),A,DNN,N,100.0,N,DNN
DNO,United States Short Oil Fund,United States Short Oil Fund,P,DNO,Y,100.0,N,DNO
DNOW,NOW Inc. Common Stock,NOW Inc. Common Stock,N,DNOW,N,100.0,N,DNOW
DNP,"DNP Select Income Fund, Inc. Common Stock","DNP Select Income Fund, Inc. Common Stock",N,DNP,N,100.0,N,DNP
DNR,Denbury Resources Inc. Common Stock,Denbury Resources Inc. Common Stock,N,DNR,N,100.0,N,DNR
DNY,The Denali Fund Inc,The Denali Fund Inc,N,DNY,N,100.0,N,DNY
DO,"Diamond Offshore Drilling, Inc. Common Stock","Diamond Offshore Drilling, Inc. Common Stock",N,DO,N,100.0,N,DO
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,Physicians Realty Trust Common Shares of Beneficial Interest,N,DOC,N,100.0,N,DOC
DOD,"Deutsche Bank AG ELEMENTS Dogs of the Dow Total Return Index Note ELEMENTS Dogs of the Dow Linked to the Dow Jones High Yield Select 10 Total Return Index due November 14, 2022","Deutsche Bank AG ELEMENTS Dogs of the Dow Total Return Index Note ELEMENTS Dogs of the Dow Linked to the Dow Jones High Yield Select 10 Total Return Index due November 14, 2022",P,DOD,N,100.0,N,DOD
DOG,ProShares Short Dow30,ProShares Short Dow30,P,DOG,Y,100.0,N,DOG
DOL,WisdomTree International LargeCap Dividend Fund,WisdomTree International LargeCap Dividend Fund,P,DOL,Y,100.0,N,DOL
DOM,Dominion Resources Black Warrior Trust Common Stock,Dominion Resources Black Warrior Trust Common Stock,N,DOM,N,100.0,N,DOM
DON,WisdomTree MidCap Dividend Fund,WisdomTree MidCap Dividend Fund,P,DON,Y,100.0,N,DON
DOO,WisdomTree International Dividend Top 100 Fund,WisdomTree International Dividend Top 100 Fund,P,DOO,Y,100.0,N,DOO
DOOR,Masonite International Corporation Ordinary Shares (Canada),Masonite International Corporation Ordinary Shares (Canada),N,DOOR,N,100.0,N,DOOR
DOV,Dover Corporation Common Stock,Dover Corporation Common Stock,N,DOV,N,100.0,N,DOV
DOW,Dow Chemical Company (The) Common Stock,Dow Chemical Company (The) Common Stock,N,DOW,N,100.0,N,DOW
DPG,Duff & Phelps Global Utility Income Fund Inc. Common Stock,Duff & Phelps Global Utility Income Fund Inc. Common Stock,N,DPG,N,100.0,N,DPG
DPK,Direxion Developed Markets Bear 3x Shares,Direxion Developed Markets Bear 3x Shares,P,DPK,Y,100.0,N,DPK
DPLO,"Diplomat Pharmacy, Inc. Common Stock","Diplomat Pharmacy, Inc. Common Stock",N,DPLO,N,100.0,N,DPLO
DPM,"DCP Midstream Partners, LP DCP Midstream Partnership, LP Common Units","DCP Midstream Partners, LP DCP Midstream Partnership, LP Common Units",N,DPM,N,100.0,N,DPM
DPS,"Dr Pepper Snapple Group, Inc Dr Pepper Snapple Group, Inc  Common Stock","Dr Pepper Snapple Group, Inc Dr Pepper Snapple Group, Inc  Common Stock",N,DPS,N,100.0,N,DPS
DPU,DB Commodity DB Commodity Long ETN,DB Commodity DB Commodity Long ETN,P,DPU,N,100.0,N,DPU
DPW,Digital Power Corporation Common Stock,Digital Power Corporation Common Stock,A,DPW,N,100.0,N,DPW
DPZ,Domino's Pizza Inc Common Stock,Domino's Pizza Inc Common Stock,N,DPZ,N,100.0,N,DPZ
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares","DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N,DQ,N,100.0,N,DQ
DRA,Diversified Real Asset Income Fund Common Shares of Beneficial Interest,Diversified Real Asset Income Fund Common Shares of Beneficial Interest,N,DRA,N,100.0,N,DRA
DRC,Dresser,Dresser-Rand Group Inc. Common Stock,N,DRC,N,100.0,N,DRC
DRD,DRDGOLD Limited American Depositary Shares,DRDGOLD Limited American Depositary Shares,N,DRD,N,100.0,N,DRD
DRE,Duke Realty Corporation Common Stock,Duke Realty Corporation Common Stock,N,DRE,N,100.0,N,DRE
DRGS,RBS Global Big Pharma Exchange Traded Note,RBS Global Big Pharma Exchange Traded Note,P,DRGS,N,100.0,N,DRGS
DRH,Diamondrock Hospitality Company Common Stock,Diamondrock Hospitality Company Common Stock,N,DRH,N,100.0,N,DRH
DRI,"Darden Restaurants, Inc. Common Stock","Darden Restaurants, Inc. Common Stock",N,DRI,N,100.0,N,DRI
DRII,"Diamond Resorts International, Inc. Common Stock","Diamond Resorts International, Inc. Common Stock",N,DRII,N,100.0,N,DRII
DRL,Doral Financial Corporation NEW Common Stock,Doral Financial Corporation NEW Common Stock,N,DRL,N,100.0,N,DRL
DRN,Dexion Daily Real Estate Bull 3x Shares,Dexion Daily Real Estate Bull 3x Shares,P,DRN,Y,100.0,N,DRN
DRQ,Dril,"Dril-Quip, Inc. Common Stock",N,DRQ,N,100.0,N,DRQ
DRR,Market Vectors Double Short Euro ETN,Market Vectors Double Short Euro ETN,P,DRR,N,100.0,N,DRR
DRV,Drexion Daily Real Estate Bear 3x Shares,Drexion Daily Real Estate Bear 3x Shares,P,DRV,Y,100.0,N,DRV
DRW,WisdomTree Global ex,WisdomTree Global ex-US Real Estate Index,P,DRW,Y,100.0,N,DRW
DSE,Duff & Phelps Select Energy MLP Fund Inc. Common Stock,Duff & Phelps Select Energy MLP Fund Inc. Common Stock,N,DSE,N,100.0,N,DSE
DSI,iShares KLD 400 Social Index Fund,iShares KLD 400 Social Index Fund,P,DSI,Y,100.0,N,DSI
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,N,DSL,N,100.0,N,DSL
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc. Common Stock","Dreyfus Strategic Municipal Bond Fund, Inc. Common Stock",N,DSM,N,100.0,N,DSM
DSS,"Document Security Systems, Inc. Common Stock","Document Security Systems, Inc. Common Stock",A,DSS,N,100.0,N,DSS
DST,"DST Systems, Inc. Common Stock","DST Systems, Inc. Common Stock",N,DST,N,100.0,N,DST
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock","Blackrock Debt Strategies Fund, Inc. Common Stock",N,DSU,N,100.0,N,DSU
DSUM,PowerShares Chinese Yuan Dim Sum Bond Portfolio,PowerShares Chinese Yuan Dim Sum Bond Portfolio,P,DSUM,Y,100.0,N,DSUM
DSW,DSW Inc. Common Stock,DSW Inc. Common Stock,N,DSW,N,100.0,N,DSW
DSX,Diana Shipping inc. common stock,Diana Shipping inc. common stock,N,DSX,N,100.0,N,DSX
DSX$B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),N,DSXpB,N,100.0,N,DSX-B
DTD,WisdomTree Total Dividend Fund,WisdomTree Total Dividend Fund,P,DTD,Y,100.0,N,DTD
DTE,DTE Energy Company Common Stock,DTE Energy Company Common Stock,N,DTE,N,100.0,N,DTE
DTF,DTF Tax,"DTF Tax-Free Income, Inc. Common Stock",N,DTF,N,100.0,N,DTF
DTH,WisdomTree DEFA High,WisdomTree DEFA High-Yielding Equity Fund,P,DTH,Y,100.0,N,DTH
DTK,Deutsche Bk Contingent Cap Tr III Tr Pfd Secs,Deutsche Bk Contingent Cap Tr III Tr Pfd Secs,N,DTK,N,100.0,N,DTK
DTLA$,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,N,DTLAp,N,100.0,N,DTLA-
DTN,WisdomTree Dividend Ex,WisdomTree Dividend Ex-Financials Fund,P,DTN,Y,100.0,N,DTN
DTO,PowerShares DB Crude Oil Double Short ETN,PowerShares DB Crude Oil Double Short ETN,P,DTO,N,100.0,N,DTO
DTQ,"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062","DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",N,DTQ,N,100.0,N,DTQ
DTT,Deutsche Bank Cap Fdg Tr IX Guaranteed Trust Preferred Securities,Deutsche Bank Cap Fdg Tr IX Guaranteed Trust Preferred Securities,N,DTT,N,100.0,N,DTT
DTZ,DTE Energy Company 2011 Series I 6.50% Junior Subordinate Debentures due 2061,DTE Energy Company 2011 Series I 6.50% Junior Subordinate Debentures due 2061,N,DTZ,N,100.0,N,DTZ
DUA,Deutsche Bank Cap Fdg Tr VIII 6.375% Tr Pfd Secs,Deutsche Bank Cap Fdg Tr VIII 6.375% Tr Pfd Secs,N,DUA,N,100.0,N,DUA
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock","Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock",N,DUC,N,100.0,N,DUC
DUG,ProShares UltraShort Oil & Gas,ProShares UltraShort Oil & Gas,P,DUG,Y,100.0,N,DUG
DUK,Duke Energy Corporation (Holding Company) Common Stock,Duke Energy Corporation (Holding Company) Common Stock,N,DUK,N,100.0,N,DUK
DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,N,DUKH,N,100.0,N,DUKH
DUST,Direxion Daily Gold Miners Bear 3X Shares,Direxion Daily Gold Miners Bear 3X Shares,P,DUST,Y,100.0,N,DUST
DV,DeVry Education Group Inc. Common Stock,DeVry Education Group Inc. Common Stock,N,DV,N,100.0,N,DV
DVA,DaVita HealthCare Partners Inc. Common Stock,DaVita HealthCare Partners Inc. Common Stock,N,DVA,N,100.0,N,DVA
DVD,"Dover Motorsports, Inc. Common Stock","Dover Motorsports, Inc. Common Stock",N,DVD,N,100.0,N,DVD
DVHI,ETRACS Diversified High Income ETN,ETRACS Diversified High Income ETN,P,DVHI,N,100.0,N,DVHI
DVHL,ETRACS 2xLeveraged Diversified High Income ETN,ETRACS 2xLeveraged Diversified High Income ETN,P,DVHL,N,100.0,N,DVHL
DVN,Devon Energy Corporation Common Stock,Devon Energy Corporation Common Stock,N,DVN,N,100.0,N,DVN
DVP,Deep Value ETF,Deep Value ETF,P,DVP,Y,100.0,N,DVP
DVY,iShares Select Dividend ETF,iShares Select Dividend ETF,P,DVY,Y,100.0,N,DVY
DVYA,iShares Asia / Pacific Dividend 30 Index Fund Exchange Traded Fund,iShares Asia / Pacific Dividend 30 Index Fund Exchange Traded Fund,P,DVYA,Y,100.0,N,DVYA
DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,P,DVYE,Y,100.0,N,DVYE
DVYL,ETRACS Monthly Pay 2x Leveraged Dow Jones Select Dividend Index ETN,ETRACS Monthly Pay 2x Leveraged Dow Jones Select Dividend Index ETN,P,DVYL,N,100.0,N,DVYL
DW,Drew Industries Incorporated Common Stock ($0.01 Par Value),Drew Industries Incorporated Common Stock ($0.01 Par Value),N,DW,N,100.0,N,DW
